home_SA2,work_SA2,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total
100100,100100,144,117,33,9,,,,21,,6,330
100200,100200,210,93,24,15,,,,12,,,354
100400,100400,102,54,6,6,,,,,,,177
100500,100500,123,30,9,,,,,,,,168
100600,100600,63,18,,,,,,,,,90
100700,100700,120,171,36,21,,,,36,,,393
100800,100800,114,114,9,6,,,,27,,,273
100900,100900,81,12,,,,,,,,,99
101000,101000,75,15,,,,,,,,,99
101100,101100,159,147,15,18,,,,21,,,366
101200,101200,105,18,,,,,,,,,126
101300,101300,111,,,,,,,,,,120
101400,101400,87,,,,,,,,,,99
101500,101500,81,15,6,,,,,,,,114
101600,101600,63,24,,,,,,,,,90
101700,101700,84,15,,,,,,,,,108
101800,101800,150,63,,,,,,6,,,225
101900,101900,111,66,9,9,,,,,,,204
102000,102000,114,21,,,,,,,,,141
102100,102100,96,60,12,,,,,15,,,192
102200,102200,231,48,21,,,,,9,,,312
102300,102300,135,24,6,,,,,15,,,192
102400,102400,150,24,9,,,,,,,,186
102500,102500,78,18,12,,,,,,,,126
102600,102600,222,30,21,,,,,15,,,291
102700,102700,60,9,,,,,,,,,78
102800,102800,171,33,9,,,,,,,,222
102900,102900,132,90,9,9,,,,9,,,246
103000,103000,135,177,33,9,,,,90,,,447
103100,103100,243,45,15,6,,,,12,,,324
103200,103200,132,21,15,,,,,,,,174
103300,103300,159,27,9,,,,,9,,6,213
103400,103400,99,21,12,,,,,,,,138
103500,103500,102,303,30,27,,,,72,,,540
103600,103600,78,6,,,,,,,,,93
103700,103700,87,18,9,,,,,,,,120
103800,103800,93,66,12,6,,,,42,,,222
103900,103900,189,93,21,,,,,90,,,402
104000,104000,57,9,,,,,,,,6,78
104100,104100,111,12,9,,,,,,,,138
104200,104200,72,9,,,,,,,,,93
104300,104300,90,42,15,,,,,,,,150
104400,104400,42,15,,,,,,,,,69
104500,104500,39,69,,15,,,,15,,,141
104600,104600,39,60,6,,,,,30,,,144
104700,104700,141,9,,,,,,6,,6,171
104800,104800,306,54,15,,,,,12,,24,414
104900,104900,324,78,18,,,,,12,,6,441
105100,105100,285,33,30,,,,,,,,357
105200,105200,72,27,6,,,,,9,,,117
105300,105300,153,33,15,,,,,,,6,207
105400,105400,426,114,33,6,,,,27,,12,621
105500,105500,90,21,18,,,,,,,,135
105600,105600,177,54,18,6,,,,21,,,279
105700,105700,84,9,,,,,,,,,99
105800,105800,105,6,,,,,,,,,120
105900,105900,141,39,18,,,,,21,,,225
106000,106000,63,21,,,,,,6,,,93
106100,106100,135,21,6,,,,,9,,,171
106200,106200,90,30,,,,,,9,,,141
106300,106300,165,24,,,,,,,,,195
106400,106400,51,15,,,,,,9,,,78
106500,106500,135,15,,,,,,,,,159
106600,106600,180,48,15,,,,,33,,,282
106700,106700,126,15,9,,,,,,,,150
106800,106800,123,6,9,,,,,6,,,150
106900,106900,141,126,6,,,,6,84,,,372
107000,107000,144,21,,,,,,9,,,183
107100,107100,66,66,21,,,,,42,,,204
107200,107200,117,,,,,,,9,,,135
107300,107300,90,15,,,,,,,,,111
107400,107400,48,9,,,,,,6,,,72
107500,107500,96,15,,,,,,9,,,120
107600,107600,81,33,,,,,,9,,,123
107700,107700,111,33,12,,,,,,,,168
107800,107800,300,69,15,,,,,12,,9,405
107900,107900,12,18,,,,,,,,,36
108000,108000,177,21,,,,,,,,,204
108100,108100,78,6,,,,,,,,,90
108200,108200,72,6,,,,,,,,,81
108300,108300,114,27,,,,,,6,,,156
108500,108500,195,27,12,,,,,9,,,246
108600,108600,276,39,12,,,,,6,,9,351
108700,108700,162,111,12,12,,,,9,,,312
108800,108800,135,126,24,12,,,,12,,,312
108900,108900,132,6,,,,,,,,,150
109000,109000,288,165,36,12,,,12,39,,,555
109100,109100,567,144,42,24,,,,18,,45,837
109200,109200,414,39,12,9,,,,12,,15,498
109300,109300,189,666,132,63,,,9,111,,,1176
109400,109400,363,150,27,27,,,6,27,,27,630
109500,109500,234,42,15,,,,,6,,6,309
109600,109600,57,99,27,6,,,,18,,,210
109700,109700,255,96,30,6,,,,15,,,408
109800,109800,282,42,18,,,,,,,,348
109900,109900,198,90,18,6,,,,9,,,321
110100,110100,78,30,,,,,,9,,,126
110200,110200,204,27,15,,,,,,,15,267
110400,110400,531,132,27,9,,,,21,,12,735
110500,110500,72,120,24,12,,,,33,,,264
110700,110700,327,63,18,,,,,,,9,429
110800,110800,213,21,12,,,,,,,,258
110900,110900,213,42,12,6,,,,21,,6,297
111100,111100,132,117,33,,,,,21,,,312
111200,111200,387,69,21,12,,,,,,,495
111300,111300,183,180,27,27,,,,63,,,483
111400,111400,165,,,,,,,,,,180
111500,111500,276,66,30,,,,,9,,,390
111600,111600,216,36,15,,,,,,,,273
111700,111700,189,102,12,9,,,,30,,,342
111800,111800,120,108,24,,,,,21,,6,288
111900,111900,114,15,,,,,,,,,138
112100,112100,186,9,6,,,,,,,,207
112200,112200,39,12,,,,,,18,,,78
112300,112300,129,15,12,,,,,,,,159
112400,112400,105,156,27,9,,,,57,,,357
112500,112500,147,15,9,,,,,,,,171
112600,112600,195,21,12,,,,,,,,234
112700,112700,237,27,9,,,,,18,,,300
112800,112800,99,,,,,,,,,,111
